C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt.1,perlit.1,węgliki.1,martenzyt.1,ausferryt.1,austenit.1,Wolna miedź.1,kontrolka,Unnamed: 33,ferryt.2,perlit.2,węgliki.2,martenzyt.2,ausferryt.2,austenit.2,Wolna miedź.2,Unnamed: 41
3.73,2.26,0.087,0.0,0.004,0.0,4.22,1.33,11,0.0,70.6,9.4,4,14,0,0,AN,0.345994,0.004045,0.00138,0.00044,0.0,5.049149,0.0,121.76615,63,21,0,0,0,3,0,100,,2.2e-05,11.445059,4.387461,7.98453,0.0,2.028946,0.0,118.52511
3.39,2.29,0.183,0.11,0.004,3.55,1.68,0.0,19,0.2,10.5,0.0,4,100,4,0,AN,2.44147,0.004045,9.134932,0.00044,100.0,4.719132,0.036173,102.18143,0,18,6,82,0,0,0,100,,31.64245,0.004045,0.00138,0.00044,16.17975,0.000289,0.001886,80.02297
3.21,2.67,0.294,0.14,0.0,0.3,0.0,2.44,19,24.5,0.0,21.6,96,0,0,0,M,2.2e-05,0.004045,0.00138,1.23882,0.0,1.225347,0.030102,126.85099,25,0,0,9,0,0,0,100,,2.2e-05,0.004045,2.996529,0.00044,100.0,0.000289,0.170286,101.52031
3.06,2.18,0.177,0.0,0.0,0.33,0.85,2.44,24,5.7,0.0,5.6,1,0,0,0,M,2.2e-05,0.004045,0.00138,4.554658,0.0,98.07675,0.192297,105.3549,0,0,0,99,0,0,0,100,,2.2e-05,0.004045,5.082055,95.98867,100.0,1.421845,0.0,97.9813
3.05,2.67,0.186,0.0,0.003,0.09,0.0,0.13,21,6.7,0.0,3.0,96,0,6,0,M,2.2e-05,4.302041,0.00138,4.449753,4.63206,0.120681,0.176821,116.22263,16,19,0,0,0,0,0,100,,49.262519,0.004045,0.00138,5.994231,78.98015,0.000289,0.118671,94.54343
3.55,2.43,0.313,0.16,0.0,0.09,1.02,0.22,3,0.0,99.0,10.0,0,19,6,0,AF,62.46501,0.004045,0.00138,0.048586,0.0,0.000289,0.193534,116.52093,5,10,1,6,0,4,0,100,,6.704605,90.488505,0.00138,1.381912,0.0,0.000289,0.120608,80.02297
3.14,2.33,0.089,1.07,0.0,0.0,0.0,0.19,12,4.3,0.0,0.5,96,14,5,0,M,13.862001,0.004045,0.855255,0.00044,95.44452,3.132688,0.217543,109.7999,0,7,0,7,61,4,0,100,,33.680171,2.608797,0.00138,7.282972,22.432,3.195567,0.185203,125.09744
3.98,2.43,0.247,0.07,0.001,0.48,3.68,2.29,24,0.0,24.6,3.7,0,18,42,0,M,3.965955,4.908254,7.315565,0.00044,6.91615,1.0981,0.0,125.94135,4,13,0,0,2,3,0,100,,17.792826,0.004045,4.989554,0.00044,0.0,0.000289,0.0,80.02297
3.42,2.08,0.354,0.12,0.004,1.93,0.0,0.0,20,0.2,18.7,8.6,0,100,34,0,AF,2.2e-05,1.719702,0.00138,0.00044,81.5522,98.07675,0.0,112.39039,0,9,8,99,0,2,0,100,,3.813783,16.186007,0.00138,0.00044,100.0,18.908751,0.0,80.02297
3.0,2.22,0.092,0.0,0.001,0.37,0.35,0.02,24,6.7,0.0,20.2,7,4,3,0,M,11.226975,0.004045,8.166381,0.00044,77.41524,0.000289,0.143827,124.03487,0,0,8,8,0,0,0,100,,6.427318,0.004045,0.00138,7.922854,19.62189,0.000289,0.157664,80.23813
2.92,2.52,0.02,0.0,0.004,0.61,0.0,1.39,14,0.0,87.4,39.4,0,0,5,0,FP,2.2e-05,94.95399,0.00138,95.98867,71.80542,0.000289,0.0,115.67702,3,0,3,11,9,0,0,100,,37.609862,0.004045,0.00138,95.98867,0.0,0.000289,0.0,86.83221
3.59,2.72,0.417,0.15,0.006,0.0,0.0,0.67,10,0.0,99.0,9.8,0,19,3,0,M,0.66415,0.004045,0.00138,1.925022,70.51902,0.000289,0.088788,80.02297,60,0,1,8,0,5,0,100,,2.2e-05,17.210684,0.00138,1.068421,0.0,0.107732,0.042229,85.22686
3.39,2.41,0.02,0.04,0.0,0.0,0.43,2.29,11,70.0,6.9,0.0,6,0,1,0,AF,2.2e-05,0.004045,0.00138,54.528481,8.67727,0.000289,0.136593,108.99352,28,0,0,99,1,6,0,100,,0.427575,0.004045,3.133974,95.98867,91.65436,0.000289,1.051426,80.02297
3.53,2.23,0.063,0.0,0.0,0.0,0.05,0.0,24,2.3,64.2,9.7,96,100,0,0,M,3.357863,0.004045,6.392208,95.98867,0.0,1.44909,0.0,80.02297,0,18,11,1,0,0,0,100,,3.390407,0.004045,2.796879,7.263243,15.34555,0.000289,0.0,112.7181
3.12,2.17,0.02,0.07,0.0,4.04,0.47,0.24,14,70.0,0.0,34.9,6,0,3,0,AN,2.2e-05,0.004045,31.523155,6.364021,1.35808,5.18214,0.193182,105.61402,0,0,0,0,0,3,0,100,,3.123925,0.004045,0.414151,3.700397,85.81952,79.418816,0.0,110.88443
2.91,2.65,0.097,0.0,0.004,0.0,0.6,0.15,11,0.0,6.7,19.8,7,8,0,0,M,2.2e-05,0.004045,6.352127,45.971633,98.3076,2.202226,0.055509,123.73051,2,22,2,6,0,0,0,100,,37.164958,0.004045,4.475852,3.362825,0.0,3.417632,0.201343,112.38303
4.24,2.2,0.02,0.0,0.006,0.1,1.53,0.0,3,2.2,0.0,60.0,3,9,7,0,AN,2.2e-05,19.425969,3.459192,0.00044,0.0,1.20443,0.105707,137.79948,3,0,5,0,5,0,0,100,,5.817705,69.742118,10.299164,72.404969,0.0,0.000289,0.145573,85.73943
2.99,2.1,0.375,0.17,0.007,0.13,0.91,0.4,17,4.0,0.0,60.0,0,20,0,0,FP,62.360235,0.004045,0.00138,0.00044,0.0,0.000289,0.085788,82.32787,0,14,0,8,4,0,0,100,,31.97205,0.004045,0.00138,5.999032,11.6164,0.253598,0.023473,104.21937
3.12,2.67,0.424,0.07,0.0,0.0,0.0,2.05,5,0.0,0.0,53.1,0,3,0,0,FP,2.2e-05,9.358451,0.51115,71.416813,80.701,0.000289,0.0,121.76036,0,98,1,0,0,0,0,100,,4.994733,0.004045,0.088736,0.00044,94.53799,0.000289,0.164958,97.49781
3.1,2.4,0.022,0.12,0.007,1.95,0.23,0.41,6,0.0,14.1,0.0,4,100,100,0,AN,2.2e-05,74.622436,0.004092,1.239578,100.0,98.07675,0.133417,113.25974,0,13,0,2,0,5,0,100,,1.439985,0.004045,8.396034,5.557378,11.35269,0.000289,0.056778,115.9884
3.25,2.73,0.225,0.06,0.005,0.47,0.6,0.78,10,5.5,0.0,9.0,1,0,7,0,AF,10.958567,64.564851,4.577953,50.501746,100.0,0.000289,0.089839,107.17115,33,9,53,5,0,0,0,100,,1.175263,0.004045,0.00138,0.424451,0.0,0.000289,0.208139,80.02297
2.84,2.48,0.248,0.0,0.0,0.0,21.04,0.08,3,0.0,9.7,3.6,96,68,4,0,M,2.2e-05,58.291146,11.213,71.778041,100.0,0.000289,0.189018,122.49253,3,98,0,0,9,5,0,100,,5.588279,3.642045,0.00138,0.00044,0.0,0.000289,0.139187,86.50269
2.73,2.34,0.445,0.13,0.001,4.28,1.33,0.32,14,0.0,0.0,6.1,96,18,7,0,AN,1.824304,19.909928,0.00138,95.98867,4.06214,0.537407,0.138806,131.79925,0,6,3,6,4,0,0,100,,39.379447,0.004045,0.00138,1.10373,6.62425,0.000289,0.050738,120.81722
3.52,2.73,0.135,0.14,0.001,0.0,21.04,2.16,10,5.0,0.0,60.0,0,21,4,0,M,28.203488,9.40093,0.00138,22.276919,3.16496,0.000289,0.182868,80.02297,0,19,2,7,0,0,0,100,,2.2e-05,48.309711,1.706237,1.303229,0.0,0.000289,0.117334,87.3052
3.34,2.29,0.068,0.0,0.0,1.93,0.0,0.0,5,4.2,99.0,5.1,0,0,1,0,M,2.2e-05,0.004045,12.126648,3.331337,15.1501,0.000289,0.029353,134.79105,4,0,2,0,0,2,0,100,,2.574317,15.823756,0.002027,7.147126,68.18531,0.000289,0.089131,80.02297
3.09,2.6,0.247,0.15,0.005,0.09,0.0,0.0,24,0.0,56.6,60.0,0,100,26,0,AN,2.2e-05,13.848109,12.571966,10.076687,100.0,98.07675,0.065038,119.37498,26,5,3,99,0,2,0,100,,15.718664,3.767546,13.237295,4.110612,75.85572,24.41656,0.0,81.28275
2.73,2.32,0.202,0.0,0.0,0.04,21.04,0.68,5,0.0,0.0,5.9,8,56,6,0,M,2.2e-05,15.235413,0.653681,4.901548,14.44776,3.905112,0.191572,134.63591,0,7,3,0,0,78,0,100,,4.439312,0.004045,0.00138,0.00044,95.06402,0.000289,0.170982,88.80495
3.15,2.39,0.08,0.0,0.005,2.88,0.0,1.46,5,0.0,0.0,3.3,0,21,5,0,AN,2.2e-05,85.112543,12.029156,0.00044,86.92707,2.819251,0.0,137.25209,4,0,0,99,4,3,0,100,,2.2e-05,9.391796,3.137234,1.484019,4.816,0.000289,0.048703,92.38477
3.14,2.34,0.393,0.09,0.0,0.0,0.0,0.0,19,3.4,0.0,10.4,90,8,5,0,AN,20.861064,0.004045,0.00138,7.272915,73.70858,0.000289,0.207042,95.57255,0,13,4,6,97,6,0,100,,62.46501,74.467959,0.00138,3.366868,100.0,0.000289,0.0,124.3975
3.05,2.37,0.02,0.0,0.0,2.8,0.94,0.0,24,5.0,4.8,4.8,7,0,1,0,M,1.008612,0.004045,6.463774,62.433661,79.35911,5.244711,0.041973,109.65155,0,0,3,6,0,0,0,100,,2.2e-05,1.733792,0.902557,3.947179,100.0,0.000289,0.096333,86.95788
3.7,2.21,0.434,0.1,0.0,0.0,16.94,0.0,7,0.0,0.0,4.8,3,17,100,0,AN,2.2e-05,5.798224,7.077346,0.174796,0.0,95.429412,0.158457,90.49941,1,0,0,0,0,2,0,100,,27.716364,0.004045,3.344965,6.294704,68.05783,2.898121,0.0,115.23631
3.06,2.29,0.158,0.0,0.0,0.31,8.92,0.0,14,0.0,13.0,0.0,0,100,3,0,M,2.2e-05,0.004045,0.00138,44.729872,8.53413,98.07675,0.076117,119.11317,0,45,0,0,85,3,0,100,,2.2e-05,29.861238,0.00138,1.033345,6.18222,0.000289,0.0,80.02297
3.29,2.48,0.188,0.0,0.0,0.0,3.33,0.39,24,1.6,0.0,9.8,0,14,4,0,AN,2.2e-05,0.004045,8.215942,0.00044,98.11611,5.94923,0.0,82.59566,5,20,5,0,97,0,0,100,,2.941455,4.679647,0.00138,0.095921,1.69126,0.000289,0.086033,104.975
3.05,2.46,0.123,0.16,0.0,0.0,21.04,2.44,9,0.0,0.0,0.6,0,1,20,0,AN,1.71937,0.004045,0.00138,12.039649,3.57771,0.400839,0.04478,81.87173,4,0,0,4,4,0,0,100,,2.2e-05,0.004045,0.00138,6.962607,0.0,0.771672,0.050601,83.06034
2.73,2.68,0.02,0.17,0.0,1.66,0.75,2.44,6,0.0,0.0,57.4,0,20,1,0,AF,2.2e-05,0.004045,9.718693,6.639231,5.37561,67.321216,0.162253,135.98733,0,14,0,5,97,6,0,100,,5.859878,50.90154,0.00138,36.213358,0.0,0.000289,0.097284,91.90978
2.73,2.23,0.198,0.04,0.0,0.21,0.01,0.0,6,0.0,0.0,3.3,1,19,6,0,M,2.2e-05,13.131342,2.323046,0.00044,7.558,64.771716,0.0,127.12989,0,0,0,4,16,0,0,100,,1.199035,0.004045,0.00138,0.00044,0.0,0.000289,0.0,95.79641
3.32,2.43,0.091,0.15,0.0,0.4,0.61,0.99,11,6.9,0.0,2.8,0,0,0,0,M,2.2e-05,8.365048,2.681924,3.147796,0.0,2.945604,0.109982,131.26496,0,6,7,5,0,3,0,100,,2.514931,35.773674,0.549755,0.00044,0.0,85.625197,0.0,100.49191
3.16,2.39,0.336,0.1,0.005,4.94,0.0,0.89,14,0.0,0.0,0.0,0,100,0,0,M,2.956885,4.827424,5.446309,0.00044,91.937,1.170757,0.220394,105.01956,0,3,9,7,0,5,0,100,,13.775497,3.875288,0.00138,66.227692,100.0,0.000289,0.729954,80.02297
4.24,2.7,0.358,0.06,0.0,0.28,21.04,1.41,3,0.0,0.0,0.6,0,0,5,0,AN,2.2e-05,0.004045,8.067084,0.00044,0.0,0.000289,0.0,120.17017,0,22,41,34,0,0,0,100,,0.963661,94.95399,0.00138,6.724938,98.69609,5.343644,0.034329,86.35181
2.73,2.31,0.02,0.17,0.0,0.0,0.0,0.41,22,0.0,8.8,60.0,3,15,2,0,AN,18.414833,0.004045,12.663844,95.98867,9.8786,17.203356,0.012823,119.0226,6,14,3,4,0,0,0,100,,2.2e-05,17.57492,0.816611,5.666201,0.0,0.000289,0.1858,122.42418
3.96,2.72,0.02,0.02,0.0,2.32,21.04,0.0,21,1.8,99.0,0.0,0,0,7,0,AN,4.466247,0.004045,0.00138,4.722731,2.2176,0.133757,0.0,102.4192,25,15,0,0,10,3,0,100,,2.2e-05,15.556914,2.319633,95.98867,0.0,0.000289,0.0,80.02297
3.2,2.39,0.02,0.0,0.0,1.19,0.41,1.39,6,3.5,0.0,60.0,0,15,2,0,M,2.2e-05,11.998322,5.364933,0.00044,0.0,5.052982,0.176726,124.36872,11,22,8,94,92,98,0,100,,19.923508,0.004045,0.00138,3.699191,4.01055,0.000289,0.073853,101.47975
4.11,2.55,0.06,0.13,0.008,0.01,0.0,0.03,3,7.3,10.4,60.0,0,17,4,0,AF,6.356676,5.980341,0.00138,72.519672,0.0,1.894497,0.2218,80.02297,4,0,8,7,0,0,0,100,,17.003422,0.004045,4.395477,5.456246,76.831,0.000289,0.0,80.02297
3.07,2.53,0.787,0.91,0.0,0.0,0.0,0.18,18,3.8,34.5,9.8,2,1,3,0,M,2.2e-05,0.004045,12.089181,69.778062,0.0,0.000289,0.006319,80.02297,1,16,10,1,0,6,0,100,,5.191406,7.156169,0.00138,3.753254,0.0,0.000289,0.07247,122.68275
3.62,2.73,0.126,0.08,0.002,1.13,1.04,0.0,7,4.7,9.2,9.4,0,15,5,0,M,2.969846,17.351133,4.357114,0.00044,100.0,3.981077,0.147723,82.45929,14,5,5,0,55,0,0,100,,4.940806,0.004045,0.00138,4.193732,0.0,0.000289,0.018122,105.67738
2.98,2.47,0.158,0.08,0.006,0.0,0.91,1.2,10,0.0,0.0,60.0,96,12,4,0,AN,2.2e-05,94.95399,0.00138,0.00044,0.0,0.000289,0.136689,111.40338,0,23,6,8,0,2,0,100,,42.103312,0.004045,0.00138,6.171767,0.0,0.000289,0.108868,130.90637
2.9,2.29,0.02,0.02,0.001,0.53,1.28,1.3,24,0.0,99.0,2.8,0,100,6,0,AN,62.46501,48.107752,4.073511,0.00044,0.0,98.07675,0.0,94.26155,6,17,4,0,14,0,0,100,,5.947975,0.004045,1.985391,5.028893,0.0,1.480541,0.0,102.71099
3.69,2.65,0.076,2.68,0.006,0.46,0.0,2.44,12,5.1,3.7,21.6,0,12,4,0,AN,2.2e-05,0.004045,2.299726,37.950865,20.37941,2.495549,0.189539,125.83699,3,0,6,7,0,6,0,100,,1.626843,22.717708,4.449283,7.484164,1.93396,0.000289,0.106712,80.02297
3.84,2.73,0.085,0.08,0.0,0.0,0.0,0.99,24,5.2,90.0,4.1,0,13,5,5,M,2.2e-05,0.004045,2.259233,0.627146,3.93928,0.000289,0.0,122.1245,0,10,0,0,3,6,0,100,,12.959746,7.921607,0.00138,0.00044,0.0,0.000289,0.191544,80.02297
3.23,2.23,0.153,0.06,0.0,4.63,6.51,1.58,3,0.0,15.8,0.0,75,0,7,0,FP,30.515977,6.572324,0.00138,6.688013,100.0,75.72479,0.0,139.85173,0,2,2,0,10,0,0,100,,2.590625,59.23517,0.00138,5.523248,100.0,0.334549,0.087053,81.84731
3.5,2.37,0.083,0.05,0.007,0.0,3.83,0.92,6,0.0,1.4,5.4,2,100,3,0,M,2.241511,0.004045,7.650581,5.410743,0.0,0.000289,0.216296,109.13667,34,0,10,0,0,0,0,100,,0.450943,0.004045,0.00138,0.00044,100.0,0.000289,0.0396,121.36591
3.4,2.35,0.068,0.0,0.007,0.0,1.72,0.0,3,5.6,26.5,0.0,64,100,3,0,AN,24.184722,0.004045,1.724337,0.00044,0.0,4.868622,0.03977,80.02297,0,23,0,0,0,7,0,100,,10.822227,52.521201,7.271539,1.268121,0.0,0.000289,0.0,91.3483
3.3,2.57,0.15,0.1,0.0,0.0,0.4,2.44,20,70.0,10.4,9.9,68,100,4,0,FP,7.445285,10.731285,0.00138,7.16509,1.18693,76.66204,0.044228,113.4426,1,1,0,0,89,0,0,100,,4.821825,55.70018,9.890673,2.871131,11.55574,98.07675,0.0,153.7299
4.24,2.31,0.247,0.09,0.003,0.0,21.04,0.64,20,4.8,91.9,50.3,1,66,0,0,FP,3.619029,30.567573,9.870182,0.00044,0.0,98.07675,0.116247,105.88941,0,6,9,6,60,0,0,100,,37.190897,19.119001,0.00138,7.600627,10.72541,0.000289,0.0,115.81612
